Set	No.	Code	Type	Rarity	USD	EUR	Result	Set Count	Hilfe	Type vereinfacht
SVI	109	Annihilape	FStage 2	Rare	$0.09	0.07€	Annihilape SVI 109	130	Annihilape SVI	Pokémon
SVI	110	Meditite	FBasic	Common	$0.06	0.06€	Meditite SVI 110	130	Meditite SVI	Pokémon
SVI	111	Medicham	FStage 1	Uncommon	$0.06	0.02€	Medicham SVI 111	130	Medicham SVI	Pokémon
SVI	112	Riolu	FBasic	Common	$0.07	0.05€	Riolu SVI 112	130	Riolu SVI	Pokémon
SVI	113	Riolu	FBasic	Common	$0.07	0.06€	Riolu SVI 113	130	Riolu SVI	Pokémon
SVI	114	Lucario	FStage 1	Uncommon	$0.10	0.07€	Lucario SVI 114	130	Lucario SVI	Pokémon
SVI	115	Sandile	FBasic	Common	$0.06	0.03€	Sandile SVI 115	130	Sandile SVI	Pokémon
SVI	116	Krokorok	FStage 1	Common	$0.05	0.03€	Krokorok SVI 116	130	Krokorok SVI	Pokémon
SVI	117	Krookodile	FStage 2	Uncommon	$0.07	0.04€	Krookodile SVI 117	130	Krookodile SVI	Pokémon
SVI	118	Hawlucha	FBasic	Rare	$0.25	0.26€	Hawlucha SVI 118	130	Hawlucha SVI	Pokémon
SVI	119	Silicobra	FBasic	Common	$0.06	0.03€	Silicobra SVI 119	130	Silicobra SVI	Pokémon
SVI	120	Sandaconda	FStage 1	Uncommon	$0.04	0.03€	Sandaconda SVI 120	130	Sandaconda SVI	Pokémon
SVI	121	Stonjourner	FBasic	Uncommon	$0.10	0.04€	Stonjourner SVI 121	130	Stonjourner SVI	Pokémon
SVI	122	Klawf	FBasic	Rare	$0.09	0.06€	Klawf SVI 122	130	Klawf SVI	Pokémon
SVI	123	Great Tusk ex	FBasic	Double Rare	$0.45	0.53€	Great Tusk ex SVI 123	130	Great Tusk ex SVI	Pokémon
SVI	124	Koraidon	FBasic	Rare	$0.07	0.08€	Koraidon SVI 124	130	Koraidon SVI	Pokémon
SVI	125	Koraidon ex	FBasic	Double Rare	$0.47	0.54€	Koraidon ex SVI 125	130	Koraidon ex SVI	Pokémon
SVI	126	Grimer	DBasic	Common	$0.12	0.05€	Grimer SVI 126	130	Grimer SVI	Pokémon
SVI	127	Muk	DStage 1	Uncommon	$0.10	0.04€	Muk SVI 127	130	Muk SVI	Pokémon
SVI	128	Seviper	DBasic	Common	$0.05	0.03€	Seviper SVI 128	130	Seviper SVI	Pokémon
SVI	129	Spiritomb	DBasic	Uncommon	$0.07	0.04€	Spiritomb SVI 129	130	Spiritomb SVI	Pokémon
SVI	130	Croagunk	DBasic	Common	$0.07	0.04€	Croagunk SVI 130	130	Croagunk SVI	Pokémon
SVI	131	Toxicroak ex	DStage 1	Double Rare	$0.50	0.58€	Toxicroak ex SVI 131	130	Toxicroak ex SVI	Pokémon
SVI	132	Pawniard	DBasic	Common	$0.05	0.02€	Pawniard SVI 132	130	Pawniard SVI	Pokémon
SVI	133	Bisharp	DStage 1	Common	$0.04	0.04€	Bisharp SVI 133	130	Bisharp SVI	Pokémon
SVI	134	Kingambit	DStage 2	Rare	$0.08	0.11€	Kingambit SVI 134	130	Kingambit SVI	Pokémon
SVI	135	Maschiff	DBasic	Common	$0.08	0.04€	Maschiff SVI 135	130	Maschiff SVI	Pokémon
SVI	136	Maschiff	DBasic	Common	$0.08	0.12€	Maschiff SVI 136	130	Maschiff SVI	Pokémon
SVI	137	Mabosstiff	DStage 1	Uncommon	$0.07	0.04€	Mabosstiff SVI 137	130	Mabosstiff SVI	Pokémon
SVI	138	Bombirdier	DBasic	Uncommon	$0.05	0.03€	Bombirdier SVI 138	130	Bombirdier SVI	Pokémon
SVI	139	Forretress	MStage 1	Uncommon	$0.06	0.03€	Forretress SVI 139	130	Forretress SVI	Pokémon
SVI	140	Varoom	MBasic	Common	$0.05	0.03€	Varoom SVI 140	130	Varoom SVI	Pokémon
SVI	141	Varoom	MBasic	Common	$0.06	0.06€	Varoom SVI 141	130	Varoom SVI	Pokémon
SVI	142	Revavroom	MStage 1	Rare	$0.14	0.08€	Revavroom SVI 142	130	Revavroom SVI	Pokémon
SVI	143	Iron Treads ex	MBasic	Double Rare	$0.44	0.53€	Iron Treads ex SVI 143	130	Iron Treads ex SVI	Pokémon
SVI	144	Chansey	CBasic	Common	$0.07	0.03€	Chansey SVI 144	130	Chansey SVI	Pokémon
SVI	145	Blissey	CStage 1	Uncommon	$0.07	0.04€	Blissey SVI 145	130	Blissey SVI	Pokémon
SVI	146	Zangoose	CBasic	Common	$0.05	0.04€	Zangoose SVI 146	130	Zangoose SVI	Pokémon
SVI	147	Zangoose	CBasic	Uncommon	$0.06	0.04€	Zangoose SVI 147	130	Zangoose SVI	Pokémon
SVI	148	Starly	CBasic	Common	$0.07	0.02€	Starly SVI 148	130	Starly SVI	Pokémon
SVI	149	Staravia	CStage 1	Common	$0.06	0.04€	Staravia SVI 149	130	Staravia SVI	Pokémon
SVI	150	Staraptor	CStage 2	Uncommon	$0.06	0.04€	Staraptor SVI 150	130	Staraptor SVI	Pokémon
SVI	151	Skwovet	CBasic	Common	$0.10	0.07€	Skwovet SVI 151	130	Skwovet SVI	Pokémon
SVI	152	Greedent	CStage 1	Uncommon	$0.07	0.05€	Greedent SVI 152	130	Greedent SVI	Pokémon
SVI	153	Indeedee	CBasic	Rare	$0.07	0.07€	Indeedee SVI 153	130	Indeedee SVI	Pokémon
SVI	154	Lechonk	CBasic	Common	$0.06	0.05€	Lechonk SVI 154	130	Lechonk SVI	Pokémon
SVI	155	Lechonk	CBasic	Common	$0.08	0.04€	Lechonk SVI 155	130	Lechonk SVI	Pokémon
SVI	156	Lechonk	CBasic	Common	$0.06	0.04€	Lechonk SVI 156	130	Lechonk SVI	Pokémon
SVI	157	Oinkologne	CStage 1	Uncommon	$0.06	0.05€	Oinkologne SVI 157	130	Oinkologne SVI	Pokémon
SVI	158	Oinkologne ex	CStage 1	Double Rare	$0.42	0.53€	Oinkologne ex SVI 158	130	Oinkologne ex SVI	Pokémon
SVI	159	Tandemaus	CBasic	Common	$0.11	0.12€	Tandemaus SVI 159	130	Tandemaus SVI	Pokémon
SVI	160	Tandemaus	CBasic	Common	$0.14	0.05€	Tandemaus SVI 160	130	Tandemaus SVI	Pokémon
SVI	161	Maushold	CStage 1	Uncommon	$0.08	0.03€	Maushold SVI 161	130	Maushold SVI	Pokémon
SVI	162	Squawkabilly	CBasic	Common	$0.04	0.02€	Squawkabilly SVI 162	130	Squawkabilly SVI	Pokémon
SVI	163	Cyclizar	CBasic	Uncommon	$0.03	0.03€	Cyclizar SVI 163	130	Cyclizar SVI	Pokémon
SVI	164	Cyclizar	CBasic	Rare	$0.08	0.04€	Cyclizar SVI 164	130	Cyclizar SVI	Pokémon
SVI	165	Flamigo	CBasic	Uncommon	$0.05	0.03€	Flamigo SVI 165	130	Flamigo SVI	Pokémon
SVI	166	Arven	Supporter	Uncommon	$2.25	1.83€	Arven SVI 166	130	Arven SVI	Supporter
SVI	167	Beach Court	Stadium	Uncommon	$0.07	0.06€	Beach Court SVI 167	130	Beach Court SVI	Stadium
SVI	168	Crushing Hammer	Item	Common	$0.09	0.06€	Crushing Hammer SVI 168	130	Crushing Hammer SVI	Item
SVI	169	Defiance Band	Tool	Uncommon	$0.16	0.12€	Defiance Band SVI 169	130	Defiance Band SVI	Tool
SVI	170	Electric Generator	Item	Uncommon	$0.10	0.07€	Electric Generator SVI 170	130	Electric Generator SVI	Item
SVI	171	Energy Retrieval	Item	Common	$0.17	0.14€	Energy Retrieval SVI 171	130	Energy Retrieval SVI	Item
SVI	172	Energy Search	Item	Common	$0.14	0.12€	Energy Search SVI 172	130	Energy Search SVI	Item
SVI	173	Energy Switch	Item	Common	$0.42	0.16€	Energy Switch SVI 173	130	Energy Switch SVI	Item
SVI	174	Exp. Share	Tool	Uncommon	$0.11	0.07€	Exp. Share SVI 174	130	Exp. Share SVI	Tool
SVI	175	Jacq	Supporter	Uncommon	$0.15	0.10€	Jacq SVI 175	130	Jacq SVI	Supporter
SVI	176	Judge	Supporter	Uncommon	$0.11	0.11€	Judge SVI 176	130	Judge SVI	Supporter
SVI	177	Katy	Supporter	Uncommon	$0.05	0.03€	Katy SVI 177	130	Katy SVI	Supporter
SVI	178	Mesagoza	Stadium	Uncommon	$0.08	0.03€	Mesagoza SVI 178	130	Mesagoza SVI	Stadium
SVI	179	Miriam	Supporter	Uncommon	$0.10	0.08€	Miriam SVI 179	130	Miriam SVI	Supporter
SVI	180	Nemona	Supporter	Common	$0.04	0.04€	Nemona SVI 180	130	Nemona SVI	Supporter
SVI	181	Nest Ball	Item	Uncommon	$0.27	0.20€	Nest Ball SVI 181	130	Nest Ball SVI	Item
SVI	182	Pal Pad	Item	Common	$0.24	0.20€	Pal Pad SVI 182	130	Pal Pad SVI	Item
SVI	183	Penny	Supporter	Uncommon	$0.09	0.09€	Penny SVI 183	130	Penny SVI	Supporter
SVI	184	Picnic Basket	Item	Uncommon	$0.09	0.06€	Picnic Basket SVI 184	130	Picnic Basket SVI	Item
SVI	185	Poké Ball	Item	Common	$0.06	0.05€	Poké Ball SVI 185	130	Poké Ball SVI	Item
SVI	186	Pokégear 3.0	Item	Common	$1.09	1.41€	Pokégear 3.0 SVI 186	130	Pokégear 3.0 SVI	Item
SVI	187	Pokémon Catcher	Item	Common	$0.12	0.16€	Pokémon Catcher SVI 187	130	Pokémon Catcher SVI	Item
SVI	188	Potion	Item	Common	$0.07	0.05€	Potion SVI 188	130	Potion SVI	Item
SVI	189	Professor's Research	Supporter	Rare	$0.17	0.11€	Professor's Research SVI 189	130	Professor's Research SVI	Supporter
SVI	190	Professor's Research	Supporter	Rare	$0.13	0.09€	Professor's Research SVI 190	130	Professor's Research SVI	Supporter
SVI	191	Rare Candy	Item	Common	$0.12	0.13€	Rare Candy SVI 191	130	Rare Candy SVI	Item
SVI	192	Rock Chestplate	Tool	Uncommon	$0.09	0.05€	Rock Chestplate SVI 192	130	Rock Chestplate SVI	Tool
SVI	193	Rocky Helmet	Tool	Uncommon	$0.07	0.05€	Rocky Helmet SVI 193	130	Rocky Helmet SVI	Tool
SVI	194	Switch	Item	Common	$0.13	0.08€	Switch SVI 194	130	Switch SVI	Item
SVI	195	Team Star Grunt	Supporter	Uncommon	$0.07	0.04€	Team Star Grunt SVI 195	130	Team Star Grunt SVI	Supporter
SVI	196	Ultra Ball	Item	Uncommon	$0.19	0.14€	Ultra Ball SVI 196	130	Ultra Ball SVI	Item
SVI	197	Vitality Band	Tool	Uncommon	$0.08	0.07€	Vitality Band SVI 197	130	Vitality Band SVI	Tool
SVI	198	Youngster	Supporter	Uncommon	$0.08	0.04€	Youngster SVI 198	130	Youngster SVI	Supporter
SVI	199	Tarountula	GBasic	Art Rare	$5.55	6.43€	Tarountula SVI 199	130	Tarountula SVI	Pokémon
SVI	200	Dolliv	GStage 1	Art Rare	$3.42	4.65€	Dolliv SVI 200	130	Dolliv SVI	Pokémon
SVI	201	Toedscool	GBasic	Art Rare	$3.56	5.95€	Toedscool SVI 201	130	Toedscool SVI	Pokémon
SVI	202	Scovillain	GStage 1	Art Rare	$3.45	3.79€	Scovillain SVI 202	130	Scovillain SVI	Pokémon
SVI	203	Armarouge	RStage 1	Art Rare	$9.85	10.46€	Armarouge SVI 203	130	Armarouge SVI	Pokémon
SVI	204	Slowpoke	WBasic	Art Rare	$19.62	15.80€	Slowpoke SVI 204	130	Slowpoke SVI	Pokémon
SVI	205	Clauncher	WBasic	Art Rare	$3.97	4.88€	Clauncher SVI 205	130	Clauncher SVI	Pokémon
SVI	206	Wiglett	WBasic	Art Rare	$5.04	5.07€	Wiglett SVI 206	130	Wiglett SVI	Pokémon
SVI	207	Dondozo	WBasic	Art Rare	$7.29	9.33€	Dondozo SVI 207	130	Dondozo SVI	Pokémon
SVI	208	Pachirisu	LBasic	Art Rare	$8.28	9.56€	Pachirisu SVI 208	130	Pachirisu SVI	Pokémon
SVI	209	Pawmot	LStage 2	Art Rare	$3.77	5.45€	Pawmot SVI 209	130	Pawmot SVI	Pokémon
SVI	210	Drowzee	PBasic	Art Rare	$23.87	30.27€	Drowzee SVI 210	130	Drowzee SVI	Pokémon
SVI	211	Ralts	PBasic	Art Rare	$28.14	25.99€	Ralts SVI 211	130	Ralts SVI	Pokémon
SVI	212	Kirlia	PStage 1	Art Rare	$20.65	25.07€	Kirlia SVI 212	130	Kirlia SVI	Pokémon
SVI	213	Fidough	PBasic	Art Rare	$9.09	6.78€	Fidough SVI 213	130	Fidough SVI	Pokémon
SVI	214	Greavard	PBasic	Art Rare	$7.10	8.93€	Greavard SVI 214	130	Greavard SVI	Pokémon
SVI	215	Riolu	FBasic	Art Rare	$19.71	18.65€	Riolu SVI 215	130	Riolu SVI	Pokémon
SVI	216	Sandile	FBasic	Art Rare	$3.39	5.24€	Sandile SVI 216	130	Sandile SVI	Pokémon
SVI	217	Klawf	FBasic	Art Rare	$2.74	4.03€	Klawf SVI 217	130	Klawf SVI	Pokémon
SVI	218	Mabosstiff	DStage 1	Art Rare	$3.95	5.03€	Mabosstiff SVI 218	130	Mabosstiff SVI	Pokémon
SVI	219	Bombirdier	DBasic	Art Rare	$2.41	3.69€	Bombirdier SVI 219	130	Bombirdier SVI	Pokémon
SVI	220	Kingambit	DStage 2	Art Rare	$4.57	6.40€	Kingambit SVI 220	130	Kingambit SVI	Pokémon
SVI	221	Starly	CBasic	Art Rare	$5.96	7.38€	Starly SVI 221	130	Starly SVI	Pokémon
SVI	222	Skwovet	CBasic	Art Rare	$3.74	4.86€	Skwovet SVI 222	130	Skwovet SVI	Pokémon
SVI	223	Spidops ex	GStage 1	Ultra Rare	$0.94	1.15€	Spidops ex SVI 223	130	Spidops ex SVI	Pokémon
SVI	224	Arcanine ex	RStage 1	Ultra Rare	$5.47	6.45€	Arcanine ex SVI 224	130	Arcanine ex SVI	Pokémon
SVI	225	Gyarados ex	WStage 1	Ultra Rare	$4.55	5.65€	Gyarados ex SVI 225	130	Gyarados ex SVI	Pokémon
SVI	226	Magnezone ex	LStage 2	Ultra Rare	$1.23	1.82€	Magnezone ex SVI 226	130	Magnezone ex SVI	Pokémon
SVI	227	Miraidon ex	LBasic	Ultra Rare	$2.65	3.63€	Miraidon ex SVI 227	130	Miraidon ex SVI	Pokémon
SVI	228	Gardevoir ex	PStage 2	Ultra Rare	$4.08	3.98€	Gardevoir ex SVI 228	130	Gardevoir ex SVI	Pokémon
SVI	229	Banette ex	PStage 1	Ultra Rare	$1.46	2.67€	Banette ex SVI 229	130	Banette ex SVI	Pokémon
SVI	230	Great Tusk ex	FBasic	Ultra Rare	$0.97	1.49€	Great Tusk ex SVI 230	130	Great Tusk ex SVI	Pokémon
SVI	231	Koraidon ex	FBasic	Ultra Rare	$1.37	2.51€	Koraidon ex SVI 231	130	Koraidon ex SVI	Pokémon
SVI	232	Toxicroak ex	DStage 1	Ultra Rare	$1.30	1.95€	Toxicroak ex SVI 232	130	Toxicroak ex SVI	Pokémon
SVI	233	Iron Treads ex	MBasic	Ultra Rare	$0.89	1.65€	Iron Treads ex SVI 233	130	Iron Treads ex SVI	Pokémon
SVI	234	Oinkologne ex	CStage 1	Ultra Rare	$1.23	1.60€	Oinkologne ex SVI 234	130	Oinkologne ex SVI	Pokémon
SVI	235	Arven	Supporter	Ultra Rare	$10.23	8.74€	Arven SVI 235	130	Arven SVI	Supporter
SVI	236	Jacq	Supporter	Ultra Rare	$3.30	5.69€	Jacq SVI 236	130	Jacq SVI	Supporter
SVI	237	Katy	Supporter	Ultra Rare	$1.56	1.95€	Katy SVI 237	130	Katy SVI	Supporter
SVI	238	Miriam	Supporter	Ultra Rare	$5.69	5.33€	Miriam SVI 238	130	Miriam SVI	Supporter
SVI	239	Penny	Supporter	Ultra Rare	$2.67	3.78€	Penny SVI 239	130	Penny SVI	Supporter
SVI	240	Professor's Research	Supporter	Ultra Rare	$4.14	5.17€	Professor's Research SVI 240	130	Professor's Research SVI	Supporter
SVI	241	Professor's Research	Supporter	Ultra Rare	$2.05	2.50€	Professor's Research SVI 241	130	Professor's Research SVI	Supporter
SVI	242	Team Star Grunt	Supporter	Ultra Rare	$1.43	2.42€	Team Star Grunt SVI 242	130	Team Star Grunt SVI	Supporter
SVI	243	Spidops ex	GStage 1	Special Art Rare	$5.11	6.16€	Spidops ex SVI 243	130	Spidops ex SVI	Pokémon
SVI	244	Miraidon ex	LBasic	Special Art Rare	$18.41	24.03€	Miraidon ex SVI 244	130	Miraidon ex SVI	Pokémon
SVI	245	Gardevoir ex	PStage 2	Special Art Rare	$41.02	42.63€	Gardevoir ex SVI 245	130	Gardevoir ex SVI	Pokémon
SVI	246	Great Tusk ex	FBasic	Special Art Rare	$7.60	11.18€	Great Tusk ex SVI 246	130	Great Tusk ex SVI	Pokémon
SVI	247	Koraidon ex	FBasic	Special Art Rare	$14.32	20.40€	Koraidon ex SVI 247	130	Koraidon ex SVI	Pokémon
SVI	248	Iron Treads ex	MBasic	Special Art Rare	$3.60	4.47€	Iron Treads ex SVI 248	130	Iron Treads ex SVI	Pokémon
SVI	249	Arven	Supporter	Special Art Rare	$9.24	9.49€	Arven SVI 249	130	Arven SVI	Supporter
SVI	250	Jacq	Supporter	Special Art Rare	$5.07	6.59€	Jacq SVI 250	130	Jacq SVI	Supporter
SVI	251	Miriam	Supporter	Special Art Rare	$22.23	21.15€	Miriam SVI 251	130	Miriam SVI	Supporter
SVI	252	Penny	Supporter	Special Art Rare	$4.59	5.09€	Penny SVI 252	130	Penny SVI	Supporter
SVI	253	Miraidon ex	LBasic	Secret Rare	$5.30	8.03€	Miraidon ex SVI 253	130	Miraidon ex SVI	Pokémon
SVI	254	Koraidon ex	FBasic	Secret Rare	$4.15	6.81€	Koraidon ex SVI 254	130	Koraidon ex SVI	Pokémon
SVI	255	Nest Ball	Item	Secret Rare	$9.14	10.85€	Nest Ball SVI 255	130	Nest Ball SVI	Item
SVI	256	Rare Candy	Item	Secret Rare	$7.34	7.97€	Rare Candy SVI 256	130	Rare Candy SVI	Item
SVI	257	Lightning Energy	Basic Energy	Secret Rare	$4.53	4.77€	Lightning Energy SVI 257	130	Lightning Energy SVI	Basic Energy
SVI	258	Fighting Energy	Basic Energy	Secret Rare	$3.95	4.07€	Fighting Energy SVI 258	130	Fighting Energy SVI	Basic Energy
PAL	1	Hoppip	GBasic	Common	$0.06	0.02€	Hoppip PAL 1	131	Hoppip PAL	Pokémon
PAL	2	Skiploom	GStage 1	Uncommon	$0.08	0.03€	Skiploom PAL 2	131	Skiploom PAL	Pokémon
PAL	3	Jumpluff	GStage 2	Rare	$0.09	0.11€	Jumpluff PAL 3	131	Jumpluff PAL	Pokémon
PAL	4	Pineco	GBasic	Common	$0.02	0.03€	Pineco PAL 4	131	Pineco PAL	Pokémon
PAL	5	Forretress ex	GStage 1	Double Rare	$0.43	0.74€	Forretress ex PAL 5	131	Forretress ex PAL	Pokémon
PAL	6	Heracross	GBasic	Uncommon	$0.05	0.04€	Heracross PAL 6	131	Heracross PAL	Pokémon
PAL	7	Tropius	GBasic	Common	$0.06	0.03€	Tropius PAL 7	131	Tropius PAL	Pokémon
PAL	8	Combee	GBasic	Common	$0.03	0.03€	Combee PAL 8	131	Combee PAL	Pokémon
PAL	9	Vespiquen	GStage 1	Uncommon	$0.06	0.03€	Vespiquen PAL 9	131	Vespiquen PAL	Pokémon
PAL	10	Snover	GBasic	Common	$0.04	0.03€	Snover PAL 10	131	Snover PAL	Pokémon
PAL	11	Abomasnow	GStage 1	Rare	$0.08	0.09€	Abomasnow PAL 11	131	Abomasnow PAL	Pokémon
PAL	12	Sprigatito	GBasic	Common	$0.08	0.04€	Sprigatito PAL 12	131	Sprigatito PAL	Pokémon
PAL	13	Sprigatito	GBasic	Common	$0.10	1.34€	Sprigatito PAL 13	131	Sprigatito PAL	Pokémon
PAL	14	Floragato	GStage 1	Uncommon	$0.08	0.04€	Floragato PAL 14	131	Floragato PAL	Pokémon
PAL	15	Meowscarada ex	GStage 2	Double Rare	$0.67	0.83€	Meowscarada ex PAL 15	131	Meowscarada ex PAL	Pokémon
PAL	16	Tarountula	GBasic	Common	$0.07	0.05€	Tarountula PAL 16	131	Tarountula PAL	Pokémon
PAL	17	Tarountula	GBasic	Common	$0.05	0.04€	Tarountula PAL 17	131	Tarountula PAL	Pokémon
PAL	18	Spidops	GStage 1	Uncommon	$0.05	0.03€	Spidops PAL 18	131	Spidops PAL	Pokémon
PAL	19	Nymble	GBasic	Common	$0.05	0.03€	Nymble PAL 19	131	Nymble PAL	Pokémon
PAL	20	Nymble	GBasic	Common	$0.03	0.04€	Nymble PAL 20	131	Nymble PAL	Pokémon
PAL	21	Lokix	GStage 1	Rare	$0.06	0.05€	Lokix PAL 21	131	Lokix PAL	Pokémon
PAL	22	Bramblin	GBasic	Common	$0.07	0.05€	Bramblin PAL 22	131	Bramblin PAL	Pokémon
PAL	23	Bramblin	GBasic	Common	$0.08	0.05€	Bramblin PAL 23	131	Bramblin PAL	Pokémon
PAL	24	Brambleghast	GStage 1	Uncommon	$0.06	0.03€	Brambleghast PAL 24	131	Brambleghast PAL	Pokémon
PAL	25	Rellor	GBasic	Common	$0.06	0.03€	Rellor PAL 25	131	Rellor PAL	Pokémon
PAL	26	Rellor	GBasic	Common	$0.05	0.03€	Rellor PAL 26	131	Rellor PAL	Pokémon
PAL	27	Wo-Chien ex	GBasic	Double Rare	$0.56	0.70€	Wo-Chien ex PAL 27	131	Wo-Chien ex PAL	Pokémon
PAL	28	Paldean Tauros	RBasic	Uncommon	$0.10	0.08€	Paldean Tauros PAL 28	131	Paldean Tauros PAL	Pokémon
PAL	29	Fletchinder	RStage 1	Uncommon	$0.05	0.03€	Fletchinder PAL 29	131	Fletchinder PAL	Pokémon
PAL	30	Talonflame	RStage 2	Uncommon	$0.07	0.03€	Talonflame PAL 30	131	Talonflame PAL	Pokémon
PAL	31	Litleo	RBasic	Common	$0.05	0.02€	Litleo PAL 31	131	Litleo PAL	Pokémon
PAL	32	Pyroar	RStage 1	Uncommon	$0.06	0.03€	Pyroar PAL 32	131	Pyroar PAL	Pokémon
PAL	33	Oricorio	RBasic	Rare	$0.10	0.09€	Oricorio PAL 33	131	Oricorio PAL	Pokémon
PAL	34	Fuecoco	RBasic	Common	$0.06	0.04€	Fuecoco PAL 34	131	Fuecoco PAL	Pokémon
PAL	35	Fuecoco	RBasic	Common	$0.08	0.04€	Fuecoco PAL 35	131	Fuecoco PAL	Pokémon
PAL	36	Crocalor	RStage 1	Uncommon	$0.06	0.04€	Crocalor PAL 36	131	Crocalor PAL	Pokémon
PAL	37	Skeledirge ex	RStage 2	Double Rare	$0.57	0.84€	Skeledirge ex PAL 37	131	Skeledirge ex PAL	Pokémon
PAL	38	Charcadet	RBasic	Common	$0.07	0.04€	Charcadet PAL 38	131	Charcadet PAL	Pokémon
PAL	39	Charcadet	RBasic	Common	$0.06	0.03€	Charcadet PAL 39	131	Charcadet PAL	Pokémon
PAL	40	Chi-Yu ex	RBasic	Double Rare	$0.56	0.76€	Chi-Yu ex PAL 40	131	Chi-Yu ex PAL	Pokémon
PAL	41	Paldean Tauros	WBasic	Uncommon	$0.08	0.09€	Paldean Tauros PAL 41	131	Paldean Tauros PAL	Pokémon
PAL	42	Magikarp	WBasic	Common	$0.12	0.03€	Magikarp PAL 42	131	Magikarp PAL	Pokémon
PAL	43	Gyarados	WStage 1	Rare	$0.23	0.16€	Gyarados PAL 43	131	Gyarados PAL	Pokémon
PAL	44	Marill	WBasic	Common	$0.08	0.03€	Marill PAL 44	131	Marill PAL	Pokémon
PAL	45	Azumarill	WStage 1	Uncommon	$0.08	0.02€	Azumarill PAL 45	131	Azumarill PAL	Pokémon
PAL	46	Delibird	WBasic	Common	$0.07	0.02€	Delibird PAL 46	131	Delibird PAL	Pokémon
PAL	47	Luvdisc	WBasic	Common	$0.06	0.03€	Luvdisc PAL 47	131	Luvdisc PAL	Pokémon
PAL	48	Eiscue	WBasic	Uncommon	$0.06	0.03€	Eiscue PAL 48	131	Eiscue PAL	Pokémon
PAL	49	Quaxly	WBasic	Common	$0.06	0.03€	Quaxly PAL 49	131	Quaxly PAL	Pokémon
PAL	50	Quaxly	WBasic	Common	$0.06	0.77€	Quaxly PAL 50	131	Quaxly PAL	Pokémon
PAL	51	Quaxwell	WStage 1	Uncommon	$0.06	0.06€	Quaxwell PAL 51	131	Quaxwell PAL	Pokémon
PAL	52	Quaquaval ex	WStage 2	Double Rare	$0.60	0.69€	Quaquaval ex PAL 52	131	Quaquaval ex PAL	Pokémon
PAL	53	Cetoddle	WBasic	Common	$0.04	0.03€	Cetoddle PAL 53	131	Cetoddle PAL	Pokémon
PAL	54	Cetoddle	WBasic	Common	$0.05	0.04€	Cetoddle PAL 54	131	Cetoddle PAL	Pokémon
PAL	55	Cetitan	WStage 1	Uncommon	$0.07	0.03€	Cetitan PAL 55	131	Cetitan PAL	Pokémon
PAL	56	Veluza	WBasic	Rare	$0.09	0.05€	Veluza PAL 56	131	Veluza PAL	Pokémon
PAL	57	Frigibax	WBasic	Common	$0.13	0.03€	Frigibax PAL 57	131	Frigibax PAL	Pokémon
PAL	58	Frigibax	WBasic	Common	$0.12	0.06€	Frigibax PAL 58	131	Frigibax PAL	Pokémon
PAL	59	Arctibax	WStage 1	Uncommon	$0.10	0.06€	Arctibax PAL 59	131	Arctibax PAL	Pokémon
PAL	60	Baxcalibur	WStage 2	Rare	$0.16	0.13€	Baxcalibur PAL 60	131	Baxcalibur PAL	Pokémon
PAL	61	Chien-Pao ex	WBasic	Double Rare	$0.83	0.94€	Chien-Pao ex PAL 61	131	Chien-Pao ex PAL	Pokémon
PAL	62	Pikachu	LBasic	Common	$0.06	0.02€	Pikachu PAL 62	131	Pikachu PAL	Pokémon
PAL	63	Pikachu ex	LBasic	Double Rare	$1.55	1.39€	Pikachu ex PAL 63	131	Pikachu ex PAL	Pokémon
PAL	64	Raichu	LStage 1	Uncommon	$0.13	0.04€	Raichu PAL 64	131	Raichu PAL	Pokémon
PAL	65	Magnemite	LBasic	Common	$0.07	0.03€	Magnemite PAL 65	131	Magnemite PAL	Pokémon
PAL	66	Voltorb	LBasic	Common	$0.05	0.03€	Voltorb PAL 66	131	Voltorb PAL	Pokémon
PAL	67	Electrode	LStage 1	Uncommon	$0.05	0.03€	Electrode PAL 67	131	Electrode PAL	Pokémon
PAL	68	Shinx	LBasic	Common	$0.08	0.06€	Shinx PAL 68	131	Shinx PAL	Pokémon
PAL	69	Shinx	LBasic	Common	$0.05	0.04€	Shinx PAL 69	131	Shinx PAL	Pokémon
PAL	70	Luxio	LStage 1	Uncommon	$0.06	0.04€	Luxio PAL 70	131	Luxio PAL	Pokémon
PAL	71	Luxray	LStage 2	Rare	$0.12	0.10€	Luxray PAL 71	131	Luxray PAL	Pokémon
PAL	72	Pincurchin	LBasic	Common	$0.11	0.06€	Pincurchin PAL 72	131	Pincurchin PAL	Pokémon
PAL	73	Pincurchin	LBasic	Uncommon	$0.05	0.05€	Pincurchin PAL 73	131	Pincurchin PAL	Pokémon
PAL	74	Pawmi	LBasic	Common	$0.06	0.04€	Pawmi PAL 74	131	Pawmi PAL	Pokémon
PAL	75	Pawmo	LStage 1	Uncommon	$0.08	0.05€	Pawmo PAL 75	131	Pawmo PAL	Pokémon
PAL	76	Pawmot	LStage 2	Rare	$0.07	0.09€	Pawmot PAL 76	131	Pawmot PAL	Pokémon
PAL	77	Tadbulb	LBasic	Common	$0.06	0.04€	Tadbulb PAL 77	131	Tadbulb PAL	Pokémon
PAL	78	Tadbulb	LBasic	Common	$0.06	0.03€	Tadbulb PAL 78	131	Tadbulb PAL	Pokémon
